Name, Birthyear, Birthplace, Deathyear, Deathcause, Award, Height, Religion
Valston Hancock, 1907, NA, 1998, NA, 3, NA, NA
Valter Schytt, 1919, NA, 1985, NA, 46, NA, NA
Valérie Benguigui, 1965, France, 2013, Breast cancer, 2, NA, NA
Van T. Barfoot, 1919, NA, 2012, NA, 4, NA, NA
Vantile Whitfield, 1930, NA, 2005, Alzheimer's disease, 2, NA, NA
Vardan Ajemian, 1905, NA, 1977, NA, 14, NA, NA
Varro Eugene Tyler, 1926, NA, 2001, NA, 2, NA, NA
Varyl Begg, 1908, NA, 1995, NA, 4, NA, NA
Vasant Gowarikar, 1933, India, 2015, NA, 2, NA, NA
Vasanth Venugopal, 1967, India, 2007, NA, 35, NA, NA
Vashon James Wheeler, 1898, NA, 1944, NA, 4, NA, NA
Vasile Vasilache, 1926, NA, 2008, NA, 31, NA, Eastern Orthodox Church
Vasili Glazunov, 1896, NA, 1967, NA, 4, NA, NA
Vasilije Trbić, 1881, NA, 1962, NA, 25, NA, NA
Vasily Badanov, 1895, NA, 1971, NA, 5, NA, NA
Vasily Chapayev, 1887, NA, 1919, NA, 19, NA, NA
Vasily Ivanovich Andrianov, 1920, NA, 1999, NA, 6, NA, NA
Vasily Kazakov, 1898, NA, 1968, NA, 9, NA, NA
Vasily Korzh, 1899, NA, 1967, NA, 3, NA, NA
Vasily Kozlov (politician), 1903, NA, 1967, NA, 4, NA, NA
Vasily Kuznetsov (general), 1894, NA, 1964, NA, 3, NA, NA
Vasily Molokov, 1895, NA, 1982, NA, 6, NA, NA
Vasily Ruzhentsev, 1899, NA, 1978, NA, 11, NA, NA
Vasily Tchernetzov, 1890, NA, 1918, NA, 4, NA, NA
Vasily Vladimirov, 1923, Russia, 2012, NA, 2, NA, NA
Vasko Lipovac, 1931, Montenegro, 2006, NA, 15, NA, NA
Vaso Čubrilović, 1897, NA, 1990, NA, 26, NA, Atheism
Vasudeo S. Gaitonde, 1924, NA, 2001, NA, 2, NA, NA
Vasundhara Komkali, 1931, NA, 2015, NA, 2, NA, NA
Vasyl Stus, 1938, NA, 1985, NA, 2, NA, NA
Vaughn O. Lang, 1927, NA, 2014, NA, 7, NA, NA
Vavilala Gopalakrishnayya, 1906, NA, 2003, NA, 2, NA, NA
Vecheslav Zagonek, 1919, NA, 1994, NA, 3, NA, NA
Vedam Venkataraya Sastry, 1853, NA, 1929, NA, 2, NA, NA
Veljko Milanković, 1955, NA, 1993, NA, 26, NA, NA
Vempati Chinna Satyam, 1929, India, 2012, NA, 2, NA, NA
Vendelín Opatrný, 1908, NA, 1944, NA, 5, NA, NA
Veniamin Myasnikov, 1936, NA, 2004, NA, 24, NA, NA
Vera Altayskaya, 1919, NA, 1978, NA, 61, NA, NA
Vera Nikolaevna Maslennikova, 1926, Russia, 2000, NA, 2, NA, NA
Vere Bonamy Fane, 1863, NA, 1924, NA, 5, NA, NA
Vermont Garrison, 1915, NA, 1994, NA, 7, NA, NA
Verna Elizabeth Watre Ingty, NA, NA, 2004, NA, 10, NA, NA
Vernard Eugene Bivin, 1921, NA, 1942, NA, 10, NA, NA
Verne J. McCaul, 1903, NA, 1968, NA, 15, NA, NA
Verne Orr, 1916, United States, 2008, NA, 3, NA, NA
Vernon Berrangé, 1900, NA, 1983, NA, 38, NA, NA
Vernon Biever, 1923, NA, 2010, NA, 2, NA, NA
Vernon E. Megee, 1900, NA, 1992, NA, 4, NA, NA
Vernon Erskine-Crum, 1918, NA, 1971, NA, 2, NA, NA
Vernon Haggard, 1874, India, 1960, NA, 3, NA, NA
Vernon Huber, 1899, NA, 1967, NA, 2, NA, NA
Vernon Prichard, 1892, NA, 1949, NA, 2, NA, NA
Vernon Sport, 1923, NA, 2008, NA, 24, NA, NA
Vernon Stewart Laurie, 1896, NA, 1981, NA, 2, NA, NA
Vernon Sturdee, 1890, NA, 1966, NA, 4, NA, NA
Vernon Treatt, 1897, NA, 1984, NA, 5, NA, Church of England
Veronica Bulshefski, 1916, NA, 1995, NA, 4, NA, NA
Verrier Elwin, 1902, NA, 1964, NA, 13, NA, NA
Vester R. Wright, 1921, NA, 1966, NA, 51, NA, NA
Viacheslav Belavkin, 1946, NA, 2012, NA, 37, NA, NA
Vicente Cabrera Funes, 1944, NA, 2014, NA, 23, NA, NA
Vicente Ferrer Moncho, 1920, NA, 2009, NA, 27, NA, ['Society of Jesus', 'Catholic Church']
Vicente Manansala, 1910, Philippines, 1981, NA, 34, NA, NA
Vicente Nicolau de Mesquita, 1818, NA, 1880, NA, 5, NA, NA
Vico Magistretti, 1920, NA, 2006, NA, 2, NA, NA
Victor-Alphonse Huard, 1853, Canada, 1929, NA, 2, NA, NA
Victor Adenuga Oyenuga, 1917, NA, 2010, NA, 29, NA, NA
Victor Bruck, 1916, NA, 1998, NA, 32, NA, NA
Victor Cordonnier, 1858, France, 1935, NA, 16, NA, NA
Victor E. Engstrom, 1913, NA, 2000, NA, 2, NA, NA
Victor FitzGeorge-Balfour, 1913, NA, 1994, NA, 4, NA, NA
Victor Fortune, 1883, NA, 1949, NA, 5, NA, NA
Victor Fyodorov, 1885, NA, 1922, NA, 3, NA, NA
Victor Goddard, 1897, NA, 1987, NA, 4, NA, NA
Victor Groom, 1898, NA, 1990, NA, 5, NA, NA
Victor Gustav Bloede (chemist), 1849, NA, 1937, NA, 18, NA, NA
Victor H. Espinoza, 1929, NA, 1986, NA, 14, NA, NA
Victor Heintz, 1876, NA, 1968, NA, 4, NA, NA
Victor Herbert Strahm, 1895, NA, 1957, NA, 43, NA, NA
Victor Hubert Tait, 1892, NA, 1988, NA, 2, NA, NA
Victor Hurley, 1888, NA, 1958, NA, 3, NA, NA
Victor Huston, 1890, Ireland, 1941, NA, 14, NA, NA
Victor Iturria, 1917, NA, 1944, NA, 4, NA, NA
Victor Kostetskiy, 1941, NA, 2014, NA, 2, NA, NA
Victor L. Kandle, 1921, NA, 1944, NA, 3, NA, NA
Victor Odlum, 1880, NA, 1971, NA, 3, NA, NA
