Name, Birthyear, Birthplace, Deathyear, Deathcause, Award, Height, Religion
Josef Huber (pilot), 1915, NA, 2008, NA, 32, NA, NA
Josef Jacobs, 1894, NA, 1978, NA, 2, NA, NA
Josef Jakwert, 1914, NA, 2008, NA, 32, NA, NA
Josef Jennewein, 1919, Austria, 1943, NA, 32, NA, NA
Josef Karl, 1910, NA, 1962, NA, 32, NA, NA
Josef Kociok, 1918, Germany, 1943, NA, 32, NA, NA
Josef Kraft, 1921, Austria, 1994, NA, 32, NA, NA
Josef Kult, 1912, Germany, 1943, NA, 32, NA, NA
Josef Lainer, 1920, Austria, 2002, NA, 4, NA, NA
Josef Mai, 1887, NA, 1982, NA, 10, NA, NA
Josef Maria Eder, 1855, NA, 1944, NA, 12, NA, NA
Josef Mathes, 1908, NA, 1944, NA, 32, NA, NA
Josef Mattauch, 1895, NA, 1976, NA, 19, NA, NA
Josef Menapace, 1920, Austria, 1943, NA, 32, NA, NA
Josef Moll, 1908, NA, 1989, NA, 49, NA, NA
Josef Niemietz, 1914, NA, 2001, NA, 32, NA, NA
Josef Philipp Vukassovich, 1755, NA, 1809, NA, 31, NA, NA
Josef Prentl, 1916, Germany, 1996, NA, 32, NA, NA
Josef Prinner, 1894, Germany, 1966, NA, 32, NA, NA
Josef Pöhs, 1912, Austria, 1943, NA, 32, NA, NA
Josef Rauch, 1902, NA, 1984, NA, 32, NA, NA
Josef Reichert, 1891, Germany, 1970, NA, 32, NA, NA
Josef Rettemeier, 1914, Germany, 1997, NA, 32, NA, NA
Josef Rintelen, 1897, Germany, 1981, NA, 32, NA, NA
Josef Rölleke, 1924, Germany, 2011, NA, 7, NA, NA
Josef Schmidt (general), 1893, NA, 1943, NA, 32, NA, NA
Josef Schneider (grenadier), 1912, NA, 2004, NA, 32, NA, NA
Josef Schneider (soldier), 1914, Germany, 1981, NA, 32, NA, NA
Josef Schreiber, 1919, Germany, 1945, NA, 32, NA, NA
Josef Schwendemann, 1888, NA, 1918, NA, 30, NA, NA
Josef Spacil, 1907, NA, 1967, NA, 2, NA, NA
Josef Steudel, 1917, NA, 2004, NA, 32, NA, NA
Josef Styr, 1920, Austria, 1984, NA, 4, NA, NA
Josef Swientek, 1912, NA, 1991, NA, 6, NA, NA
Josef Veltjens, 1894, NA, 1943, NA, 3, NA, NA
Josef Wiechoczek, 1915, Germany, 1999, NA, 32, NA, NA
Josef Wurmheller, 1917, NA, 1944, NA, 32, NA, NA
Josef Zwernemann, 1916, NA, 1944, NA, 32, NA, NA
Joseph Baron von Mesko de Felsö-Kubiny, 1762, Hungary, 1815, NA, 31, NA, NA
Joseph Count Kinsky, 1731, NA, 1804, NA, 31, NA, NA
Joseph-André Motte, 1925, France, 2013, NA, 5, NA, NA
Joseph-Benoît Suvée, 1743, NA, 1807, NA, 12, NA, NA
Joseph-Henri Guiguet, 1891, NA, 1979, NA, 3, NA, NA
Joseph A. Doyle, 1920, NA, 2014, NA, 3, NA, NA
Joseph A. Nolan, 1857, NA, 1921, NA, 14, NA, NA
Joseph A. Redding, 1894, NA, 1984, NA, 12, NA, NA
Joseph Alfred Micheler, 1861, NA, 1931, NA, 2, NA, NA
Joseph Auguste Émile Vaudremer, 1829, NA, 1914, NA, 12, NA, NA
Joseph Awad, 1929, NA, 2009, NA, 25, NA, NA
Joseph B. Adkison, 1892, NA, 1965, NA, 14, NA, NA
Joseph B. Chambers, 1833, NA, 1909, NA, 14, NA, NA
Joseph B. Noil, 1841, Canada, 1881, NA, 14, NA, NA
Joseph Baillon, 1895, NA, 1951, NA, 2, NA, NA
Joseph Bentwich, 1902, United Kingdom, 1982, NA, 12, NA, NA
Joseph Berry (RAF officer), 1920, Belgium, 1944, NA, 43, NA, NA
Joseph Britton Leavy, 1872, NA, 1921, NA, 40, NA, NA
Joseph Burger (Medal of Honor), 1848, NA, 1921, NA, 14, NA, NA
Joseph C. Baldwin, 1897, NA, 1957, NA, 16, NA, NA
Joseph C. Clifton, 1905, NA, 1967, NA, 4, NA, NA
Joseph C. Rodríguez, 1928, NA, 2005, NA, 2, NA, NA
Joseph Cable (Medal of Honor), 1848, NA, 1877, NA, 14, NA, NA
Joseph Callaghan, 1893, NA, 1918, NA, 14, NA, NA
Joseph Chabran, 1763, France, 1843, NA, 3, NA, NA
Joseph Clancy (Medal of Honor), 1863, NA, 1929, NA, 14, NA, NA
Joseph Conrad (French colonel), 1788, NA, 1837, NA, 16, NA, NA
Joseph Cotten, 1905, NA, 1994, NA, 2, NA, NA
Joseph Cushing Edmands, 1842, NA, 1878, NA, 17, NA, NA
Joseph De Bonnefoy, 1894, NA, 1946, NA, 4, NA, NA
Joseph E. Brandle, 1839, NA, 1909, NA, 14, NA, NA
Joseph E. Carter, 1875, NA, 1950, NA, 14, NA, NA
Joseph E. Hallonquist, 1895, Canada, 1958, NA, 2, NA, NA
Joseph E. Muller, 1908, NA, 1945, NA, 14, NA, NA
Joseph E. Schaefer, 1918, NA, 1987, NA, 14, NA, NA
Joseph E. Seagram, 1841, NA, 1919, NA, 34, NA, NA
Joseph E. Vantine, 1835, NA, 1904, NA, 14, NA, NA
Joseph Edward Connolly, 1904, NA, 1942, NA, 10, NA, NA
Joseph Engelberger, 1925, NA, 2015, NA, 11, NA, NA
Joseph F. Carter, 1842, NA, 1922, NA, 14, NA, NA
Joseph F. Enright, 1910, NA, 2000, NA, 2, NA, NA
Joseph F. Holt, 1924, NA, 1997, NA, 12, NA, NA
Joseph F. Merrell, 1926, NA, 1945, NA, 2, NA, NA
Joseph Fisher (soldier), 1843, NA, 1903, NA, 14, NA, NA
Joseph Fitz, 1886, NA, 1945, NA, 14, NA, NA
Joseph Fleck, 1892, NA, 1977, NA, 25, NA, NA
Joseph Francis Scott, 1864, NA, 1941, NA, 14, NA, NA
Joseph Frank Wehner, 1895, NA, 1918, NA, 43, NA, NA
Joseph Frantz (soldier), 1837, NA, 1913, NA, 14, NA, NA
Joseph Frederick Laycock, 1867, NA, 1952, NA, 3, NA, NA
Joseph G. LaPointe Jr., 1948, NA, 1969, NA, 11, NA, NA
Joseph Gabriel Harner, 1889, NA, 1958, NA, 14, NA, NA
Joseph Gerber, 1924, Austria, 1996, NA, 43, NA, NA
Joseph Gion, 1826, NA, 1889, NA, 14, NA, NA
Joseph H. Davis, 1860, NA, 1903, NA, 14, NA, NA
Joseph H. Hulse, 1923, NA, 2013, NA, 3, NA, NA
Joseph H. Stotler, 1888, NA, 1957, NA, 55, NA, NA
Joseph Hanks (Medal of Honor), 1843, NA, 1922, NA, 14, NA, NA
Joseph Harold Moore, 1914, United States, 2006, NA, 6, NA, NA
Joseph Henderson (Medal of Honor), 1869, NA, 1938, NA, 14, NA, NA
Joseph Henry Keenan, 1900, NA, 1977, NA, 4, NA, NA
Joseph Henry Pendleton, 1860, NA, 1942, NA, 10, NA, NA
Joseph Hirsch, 1910, NA, 1981, NA, 2, NA, NA
Joseph Hutchinson, 1902, NA, 1988, NA, 2, NA, NA
Joseph J. Cicchetti, 1923, NA, 1945, NA, 14, NA, NA
Joseph J. Katz, 1912, NA, 2008, NA, 13, NA, NA
Joseph J. Nazzaro, 1913, NA, 1990, NA, 4, NA, NA
Joseph J. Sadowski, 1917, NA, 1944, NA, 2, NA, NA
Joseph John Franklin, 1870, NA, 1940, NA, 14, NA, NA
Joseph K. Corson, 1836, NA, 1913, NA, 14, NA, NA
Joseph Kayll, 1914, NA, 2000, NA, 5, NA, NA
Joseph Keene, 1839, United Kingdom, 1921, NA, 14, NA, NA
Joseph Killackey, 1879, NA, 1946, NA, 14, NA, NA
Joseph Kimball, 1836, NA, 1909, NA, 14, NA, NA
Joseph L. Epps, 1870, NA, 1952, NA, 14, NA, NA
Joseph L. Follett, 1843, NA, 1907, NA, 14, NA, NA
Joseph Lawson Hodges Jr., 1922, United States, 2000, NA, 3, NA, NA
Joseph Le Brix, 1899, France, 1931, NA, 3, NA, NA
Joseph Lee Jayne, 1863, NA, 1928, NA, 10, NA, NA
Joseph Leonard, 1876, NA, 1946, NA, 2, NA, NA
Joseph Leonard Maries White, 1897, NA, 1925, NA, 3, NA, NA
Joseph Leslie Blackham, 1912, NA, 2004, NA, 17, NA, NA
Joseph Lonsway, 1844, NA, 1925, NA, 14, NA, NA
Joseph Lyman Silsbee, 1848, NA, 1913, NA, 44, NA, NA
Joseph M. Auman, 1922, NA, 1942, NA, 10, NA, NA
Joseph M. Clary, 1905, NA, 1996, NA, 2, NA, NA
Joseph M. X. de Sévin, 1894, NA, 1963, NA, 4, NA, NA
Joseph Maria Gordon, 1856, Spain, 1929, NA, 17, NA, NA
Joseph Matthews (Medal of Honor), 1849, NA, 1912, NA, 14, NA, NA
Joseph Maurice Pambet, 1854, NA, 1916, NA, 3, NA, NA
Joseph May Swing, 1894, NA, 1984, NA, 6, NA, NA
Joseph Metcalf III, 1927, NA, 2007, NA, 3, NA, NA
Joseph Mitchell (Medal of Honor), 1876, NA, 1925, NA, 14, NA, NA
Joseph Needham Tayler, 1783, NA, 1864, NA, 17, NA, NA
Joseph Nikolaus De Vins, 1732, NA, 1798, NA, 31, NA, NA
Joseph O'Donnell (younger), 1768, NA, 1836, NA, 33, NA, NA
Joseph Ocskay von Ocsko, 1740, NA, 1805, NA, 31, NA, NA
Joseph P. LaSalle, 1916, NA, 1983, NA, 2, NA, NA
Joseph Peart, 1900, New Zealand, 1942, NA, 5, NA, NA
Joseph Prestwich, 1812, NA, 1896, NA, 2, NA, NA
Joseph Quick (Medal of Honor), 1877, NA, 1969, NA, 14, NA, NA
Joseph R. Holzapple, 1914, NA, 1973, NA, 5, NA, NA
Joseph R. Jelinek, 1919, NA, 1978, NA, 3, NA, NA
Joseph R. Odum, 1913, NA, 1942, NA, 11, NA, NA
Joseph R. Ouellette, 1930, NA, 1950, NA, 2, NA, NA
Joseph S. Fruton, 1912, Poland, 2007, NA, 39, NA, NA
Joseph S. Labill, 1837, NA, 1911, NA, 14, NA, NA
Joseph S. Manning, 1845, NA, 1905, NA, 14, NA, NA
Joseph S. Nelson, 1937, NA, 2011, NA, 24, NA, NA
Joseph Sarnoski, 1915, NA, 1943, NA, 3, NA, NA
Joseph Schatzkés, 1898, Russia, 1984, NA, 4, NA, NA
Joseph Schmid, 1901, NA, 1956, NA, 32, NA, NA
Joseph Serebriany, 1907, NA, 1979, NA, 41, NA, NA
Joseph Shield Nicholson, 1850, NA, 1927, NA, 9, NA, NA
Joseph Slepian, 1891, NA, 1969, NA, 17, NA, NA
Joseph Stewart Temple Fall, 1895, NA, 1988, NA, 2, NA, NA
Joseph Summers, 1904, NA, 1954, NA, 27, NA, NA
Joseph Sydney Yorke, 1768, NA, 1831, NA, 2, NA, NA
Joseph T. Dickman, 1857, NA, 1928, NA, 6, NA, NA
Joseph Taylor (Medal of Honor), 1837, NA, 1912, NA, 14, NA, NA
Joseph Van Matre, 1828, NA, 1892, NA, 14, NA, NA
Joseph Warren Revere (general), 1812, NA, 1880, NA, 30, NA, NA
Joseph Warren Stilwell Jr., 1912, NA, 1966, NA, 8, NA, NA
Joseph Webb, 1908, NA, 1962, NA, 36, NA, NA
Joseph Williams Vance Jr., 1918, NA, 1942, NA, 17, NA, NA
Joseph Wortick, 1837, NA, 1910, NA, 14, NA, NA
Joseph Xavier Grant, 1940, NA, 1966, NA, 2, NA, NA
Joseph de Goislard de Monsabert, 1887, NA, 1981, NA, 5, NA, NA
Joseph von Radowitz (general), 1899, Germany, 1956, NA, 32, NA, NA
Joseph von Schellenberg, 1735, Austria, 1801, NA, 31, NA, NA
Josephus S. Cecil, 1878, NA, 1940, NA, 14, NA, NA
Joshua Harold Burn, 1892, NA, 1981, NA, 13, NA, NA
Joshua James (lifesaver), 1826, NA, 1902, NA, 16, NA, NA
Joshua L. Goldberg, 1896, Belarus, 1994, NA, 15, NA, NA
Josiah K. Lilly Sr., 1861, NA, 1948, NA, 15, NA, Methodism
Josiah Lewis Morgan, 1893, NA, 1982, NA, 14, NA, NA
Josiah M. Curtis, 1844, NA, 1875, NA, 14, NA, NA
Josiah O. Livingston, 1837, NA, 1917, NA, 14, NA, NA
Josiah Phillips, 1830, NA, 1894, NA, 14, NA, NA
Josias Hereditary Prince of Waldeck and Pyrmont, 1896, NA, 1967, NA, 10, NA, NA
Josip Križaj (aviator), 1911, Slovenia, 1948, NA, 16, NA, NA
Jost Brökelmann, 1907, NA, 1967, NA, 32, NA, NA
Jost Metzler, 1909, NA, 1975, NA, 32, NA, NA
José Albi, 1922, NA, 2010, NA, 12, NA, NA
José Antonio Muñiz, 1919, NA, 1960, NA, 2, NA, NA
José Augusto Alves Roçadas, 1865, Portugal, 1926, NA, 2, NA, NA
José Carlos Millás, 1889, Cuba, 1965, NA, 2, NA, NA
José Enrique Varela, 1891, NA, 1951, NA, 33, NA, NA
José Ferrer, 1912, NA, 1992, NA, 22, NA, NA
José González Hontoria, 1840, NA, 1889, NA, 20, NA, NA
José L. Rivera, NA, NA, 1969, NA, 2, NA, NA
José Luis Calderón Cabrera, NA, NA, 2004, NA, 26, NA, NA
José Luis Massera, 1915, NA, 2002, NA, 37, NA, NA
José M. Cabanillas, 1901, NA, 1979, NA, 17, NA, NA
José María Sobral, 1880, Argentina, 1961, NA, 33, NA, NA
José María Vargas (historian), 1902, NA, 1988, NA, 21, NA, NA
José Miaja, 1878, NA, 1958, NA, 2, NA, NA
José Márcio Ayres, 1954, Brazil, 2003, NA, 2, NA, NA
José Olaguer Feliú, 1859, Spain, 1929, NA, 5, NA, NA
José Rodrigues, 1828, Portugal, 1887, NA, 20, NA, NA
José de Ribas, 1751, NA, 1800, NA, 4, NA, NA
Jovan Babunski, 1875, NA, 1920, NA, 25, NA, NA
Joyce Barkhouse, 1913, Canada, 2012, NA, 2, NA, NA
Joyce Carlson, 1923, NA, 2008, NA, 14, NA, NA
Joža Horvat, 1915, NA, 2012, NA, 20, NA, NA
Juan Antonio Yanes, 1902, Venezuela, 1987, NA, 43, NA, NA
Juan Bautista Aznar-Cabañas, 1860, NA, 1933, NA, 26, NA, NA
Juan Bielovucic, 1889, Peru, 1949, NA, 2, NA, NA
Juan Carlos Castagnino, 1908, Argentina, 1972, NA, 2, NA, NA
Juan César Cordero Dávila, 1904, NA, 1965, NA, 2, NA, NA
Juan E. Negrón, 1929, NA, 1996, NA, 2, NA, NA
Juan Francisco González, 1853, Chile, 1933, NA, 6, NA, NA
Juan José Carbó, 1927, NA, 2010, NA, 22, NA, NA
Juan José Giambiagi, 1924, NA, 1996, NA, 37, NA, NA
Juan Trippe, 1899, NA, 1981, Stroke, 2, NA, NA
Juan de Dios Guevara, 1910, Peru, 2000, NA, 33, NA, NA
Juan de la Cierva, 1895, Spain, 1936, NA, 2, NA, NA
Juanita Craft, 1902, NA, 1985, NA, 17, NA, NA
Juanita Moody, 1924, NA, 2015, NA, 42, NA, NA
Juda Hirsch Quastel, 1899, NA, 1987, NA, 2, NA, NA
Judith Krug, 1940, NA, 2015, NA, 24, NA, NA
Judith Magyar Isaacson, 1925, NA, 2015, NA, 26, NA, NA
Judy Dearing, 1940, NA, 1995, NA, 2, NA, NA
Judy Garland, 1922, NA, 1969, Barbiturate overdose, 50, NA, NA
Jugal Kishore (physician), 1915, NA, 2012, NA, 10, NA, NA
Jules-François Crahay, 1917, NA, 1988, NA, 27, NA, NA
Jules Benoit-Lévy, 1866, NA, 1952, NA, 28, NA, NA
Jules Coutan, 1848, NA, 1939, NA, 12, NA, NA
Jules Covin, 1895, NA, 1918, NA, 2, NA, NA
Jules Ernest Renoux, 1863, France, 1932, NA, 2, NA, NA
Jules Guéron, 1907, NA, 1990, NA, 16, NA, NA
Jules James, 1885, NA, 1957, NA, 16, NA, NA
Julian Banzon, 1908, NA, 1988, NA, 37, NA, NA
Julian Besag, 1945, United Kingdom, 2010, NA, 2, NA, NA
Julian Cook, 1916, NA, 1990, NA, 5, NA, NA
Julian E. Levi, 1900, NA, 1982, NA, 17, NA, NA
Julian Ewell, 1915, NA, 2009, NA, 8, NA, NA
Julian Gascoigne, 1903, NA, 1990, NA, 4, NA, NA
Julian Holbrook, 1897, NA, 1980, NA, 3, NA, NA
Julian Patterson, 1884, NA, 1972, NA, 27, NA, NA
Julien Edmund Victor Gaujot, 1874, NA, 1938, NA, 14, NA, NA
Julien Guertiau, 1885, NA, 1954, NA, 4, NA, NA
Julien J. LeBourgeois, 1923, NA, 2012, NA, 3, NA, NA
Julien Le Blant, 1851, NA, 1936, NA, 13, NA, NA
Julienne Aisner, 1899, NA, 1947, NA, 38, NA, NA
Julio Augusto Henriques, 1838, Portugal, 1928, NA, 15, NA, NA
Julio Balparda, 1900, NA, 1942, NA, 2, NA, NA
Julius (John) Murray Bartels, 1872, NA, 1944, NA, 40, NA, NA
Julius A. Furer, 1880, NA, 1963, NA, 2, NA, NA
Julius A. R. Wilke, 1860, NA, 1914, NA, 14, NA, NA
Julius A. Raven, 1918, NA, 1942, NA, 2, NA, NA
Julius Arigi, 1895, NA, 1981, NA, 17, NA, NA
Julius Beckmann, 1910, Germany, 1944, NA, 32, NA, NA
Julius Bruche, 1873, NA, 1961, NA, 3, NA, NA
Julius Busa, 1891, Hungary, 1917, NA, 17, NA, NA
Julius Curtis Townsend, 1881, NA, 1939, NA, 2, NA, NA
Julius Ellsberry, 1922, NA, 1941, NA, 12, NA, NA
Julius H. Stickoffer, 1845, NA, 1925, NA, 14, NA, NA
Julius Kowalczik, 1885, NA, 1917, NA, 17, NA, NA
Julius Kuperjanov, 1894, NA, 1919, NA, 5, NA, NA
Julius Mayreder, 1860, Austria, 1911, NA, 12, NA, NA
Julius Meimberg, 1917, Germany, 2012, NA, 32, NA, NA
Julius Riepe, 1903, Germany, 1983, NA, 32, NA, NA
Julius Ringel, 1889, NA, 1967, NA, 32, NA, NA
Julius Schmidt (aviator), NA, NA, 1944, NA, 3, NA, NA
Julius Schou, 1849, Denmark, 1929, NA, 14, NA, NA
Julius Stahel, 1825, Hungary, 1912, NA, 14, NA, NA
Julius Stieglitz, 1867, United States, 1937, NA, 19, NA, NA
Julius Stjernvall, 1874, NA, 1939, NA, 29, NA, NA
Julius von Bernuth, 1897, NA, 1942, NA, 32, NA, NA
Julius von Bose, 1809, NA, 1894, NA, 3, NA, NA
Julián Rejala, 1907, Paraguay, 1981, NA, 8, NA, NA
Jun Ushiroku, 1884, Japan, 1973, NA, 3, NA, NA
June Allyson, 1917, NA, 2006, ['Respiratory failure', 'Bronchitis'], 70, NA, NA
June Knox-Mawer, 1930, NA, 2006, NA, 38, NA, NA
Junior D. Edwards, 1926, NA, 1951, NA, 2, NA, NA
Junior J. Spurrier, 1922, NA, 1984, NA, 3, NA, NA
Junior Van Noy, 1924, NA, 1943, NA, 14, NA, NA
Justice Tilly, 1888, NA, 1941, NA, 2, NA, NA
Justin Whitlock Dart, 1907, NA, 1984, Heart failure, 29, NA, NA
Justin Whitlock Dart Jr., 1930, NA, 2002, Pneumonia, 29, NA, NA
Justine Saunders, 1953, NA, 2007, NA, 15, NA, NA
Justus Grassmann, NA, NA, 1961, NA, 2, NA, NA
Juthika Roy, 1920, NA, 2014, NA, 10, NA, NA
Ján Kadár, 1918, NA, 1979, NA, 5, NA, NA
János Pilinszky, 1921, NA, 1981, NA, 3, NA, NA
János Szentágothai, 1912, NA, 1994, NA, 2, NA, NA
Józef Bartosik, 1917, Poland, 2008, NA, 4, NA, NA
Józef Kowalski (supercentenarian), 1900, NA, 2013, NA, 2, NA, NA
Józef Roman Utnicki, 1912, Poland, 1991, NA, 16, NA, NA
Józef Łobodowski, 1909, NA, 1988, NA, 28, NA, NA
József Kiss, 1896, Slovakia, 1918, NA, 17, NA, NA
Jöns Jacob Berzelius, 1779, Sweden, 1848, NA, 12, NA, NA
Jörg Burg, 1919, NA, 1944, NA, 32, NA, NA
Jürgen Brocke, 1922, Germany, 1942, NA, 32, NA, NA
Jürgen Ehlers, 1929, Germany, 2008, NA, 16, NA, NA
Jürgen Gauß (officer), 1918, NA, 1996, NA, 32, NA, NA
Jürgen Harder, 1918, NA, 1945, NA, 32, NA, NA
Jürgen Oesten, 1913, NA, 2010, NA, 32, NA, NA
Jürgen Wagner, 1901, Germany, 1947, NA, 4, NA, NA
Jürgen Warnatz, 1944, NA, 2007, NA, 31, NA, NA
Jürgen von Rosenstiel, 1912, NA, 1942, NA, 3, NA, NA
Jānis Buivids, 1864, NA, 1937, NA, 19, NA, NA
J.C.C. McKinsey, 1908, NA, 1953, NA, 21, NA, NA
J.C. Wylie, 1911, NA, 1993, NA, 3, NA, NA
J. A. Ratcliffe, 1902, NA, 1987, NA, 2, NA, NA
J. B. Gunn, 1928, Egypt, 2008, NA, 5, NA, NA
J. C. Hurewitz, 1914, NA, 2008, Pneumonia, 10, NA, NA
J. C. Julius Langbein, 1845, NA, 1910, NA, 14, NA, NA
J. Carrol Naish, 1896, NA, 1973, Chronic obstructive pulmonary disease, 61, NA, NA
J. E. M. Pritchard, 1889, NA, 1921, NA, 2, NA, NA
J. Esmonde Barry, 1923, Canada, 2007, NA, 3, NA, Catholic Church
J. H. van Lint, 1932, NA, 2004, NA, 47, NA, NA
J. Henry Denig, 1838, NA, 1876, NA, 14, NA, NA
J. Hunter Wickersham, 1890, NA, 1918, NA, 2, NA, NA
J. J. P. Corrigan, 1901, NA, 1982, NA, 17, NA, NA
J. K. Ralston, 1896, NA, 1987, NA, 41, NA, NA
J. Linus McAtee, 1897, NA, 1963, NA, 41, NA, NA
J. M. Pahwa, 1922, NA, 2001, NA, 10, NA, NA
J. M. S. Careless, 1919, NA, 2009, NA, 2, NA, NA
J. Michael Riva, 1948, NA, 2012, NA, 20, NA, NA
J. N. Saksena, NA, NA, 2010, NA, 10, NA, NA
J. P. Blecksmith, 1980, NA, 2004, NA, 2, NA, NA
J. P. Knight, 1828, NA, 1886, NA, 16, NA, NA
J. Presper Eckert, 1919, NA, 1995, NA, 3, NA, NA
Jaap Weideman, 1936, NA, 1996, NA, 27, NA, NA
Jacinto Convit, 1913, Venezuela, 2014, NA, 2, NA, NA
Jack A. Wolfe, 1936, NA, 2005, NA, 29, NA, NA
Jack Agnew, 1922, NA, 2010, NA, 2, NA, NA
Jack Anderson (columnist), 1922, United States, 2005, Parkinson's disease, 14, NA, The Church of Jesus Christ of Latter-day Saints
Jack Armand Cunningham, 1890, NA, 1956, NA, 6, NA, NA
Jack C. Montgomery, 1917, NA, 2002, NA, 3, NA, NA
Jack C. Robinson, 1922, NA, 1942, NA, 11, NA, NA
Jack Cassidy, 1927, NA, 1976, NA, 2, NA, NA
Jack Churchill, 1906, NA, 1996, NA, 2, NA, NA
Jack Conroy, 1898, NA, 1990, NA, 21, NA, NA
Jack Crain, 1920, NA, 1994, NA, 20, 1.7018, NA
Jack Curtis (World War II aviator), 1923, NA, 2009, NA, 2, NA, NA
Jack Diamond (Canadian businessman), 1909, NA, 2001, NA, 2, NA, NA
Jack Dreyfus, 1913, NA, 2009, NA, 22, NA, NA
Jack Drummond, 1891, NA, 1952, NA, 13, NA, NA
Jack Duppa-Miller, 1903, NA, 1994, NA, 12, NA, NA
Jack Easton (GC), NA, NA, 1994, NA, 12, NA, NA
Jack Edwards (British Army soldier), 1918, NA, 2006, NA, 27, NA, NA
Jack G. Hanson, 1930, NA, 1951, NA, 2, NA, NA
Jack G. Merrell, 1915, NA, 1993, NA, 5, NA, NA
Jack Harman, 1920, NA, 2009, NA, 3, NA, NA
Jack Hawkins (U.S. Marine Corps officer), 1916, NA, 2013, NA, 2, NA, NA
Jack Horkheimer, 1938, United States, 2010, NA, 16, NA, NA
Jack Hunt (RAF officer), 1899, NA, 1954, NA, 43, NA, NA
Jack J. Catton, 1920, NA, 1990, NA, 5, NA, NA
Jack J. Pendleton, 1918, NA, 1944, NA, 3, NA, NA
Jack K. Gamble, 1922, NA, 2011, NA, 15, NA, NA
Jack Kenneth Highton, 1904, NA, 1988, NA, 17, NA, NA
Jack Klugman, 1922, NA, 2012, Prostate cancer, 2, NA, NA
Jack L. Knight, 1917, NA, 1945, NA, 2, NA, NA
Jack L. Treadwell, 1919, NA, 1977, NA, 5, NA, NA
Jack Mackenzie, 1888, NA, 1984, NA, 2, NA, NA
Jack Mason (aviator), 1896, NA, 1968, NA, 14, NA, NA
Jack Mason Gougar, 1920, NA, 2007, NA, 9, NA, NA
Jack Miller (USMC officer), 1920, NA, 1942, NA, 10, NA, NA
Jack Newfield, 1938, NA, 2004, NA, 3, NA, NA
Jack Newkirk, 1913, NA, 1942, NA, 2, NA, NA
Jack Oliver (scientist), 1923, NA, 2011, NA, 29, NA, NA
Jack Perrin, 1896, NA, 1967, NA, 22, NA, NA
Jack Rife Beirnes, 1915, NA, 1945, NA, 43, NA, NA
Jack Ritchie, 1922, NA, 1983, NA, 11, NA, NA
Jack Scatchard, 1910, NA, 2001, NA, 2, NA, NA
Jack Souther, 1924, NA, 2014, NA, 4, NA, NA
Jack Stevens, 1896, NA, 1969, NA, 6, NA, NA
Jack Studdert, 1923, NA, 2003, NA, 2, NA, NA
Jack Vance (general), 1933, NA, 2013, NA, 2, NA, NA
Jack W. Mathis, 1921, NA, 1943, NA, 2, NA, NA
Jack W. Wilke, 1919, NA, 1942, NA, 10, NA, NA
Jack Webster, 1918, NA, 1999, NA, 15, NA, NA
Jack Weinstein (Medal of Honor), 1928, NA, 2006, NA, 14, NA, NA
Jack William Wintle, 1908, NA, 1942, NA, 10, NA, NA
Jack Williams (Medal of Honor), 1924, NA, 1945, NA, 2, NA, NA
Jack Wilson (Yorkshire cricketer), 1889, NA, 1959, NA, 2, NA, NA
Jack Womer, 1917, NA, 2013, NA, 2, NA, NA
Jackie Ormes, 1911, NA, 1985, NA, 54, NA, NA
Jacksel M. Broughton, 1925, NA, 2014, NA, 5, NA, NA
Jackson Beardy, 1944, Canada, 1984, NA, 25, NA, NA
Jackson D. Arnold, 1912, NA, 2007, NA, 5, NA, NA
Jacob Bigeleisen, 1919, NA, 2010, NA, 3, NA, NA
Jacob Burck, 1907, NA, 1982, NA, 39, NA, NA
Jacob Cart, 1843, NA, 1882, NA, 14, NA, NA
Jacob Chandy, 1910, NA, 2007, NA, 3, NA, NA
Jacob DeShazer, 1912, NA, 2008, NA, 3, NA, NA
Jacob Fick, 1912, Germany, 2004, NA, 5, NA, NA
Jacob François Marulaz, 1769, NA, 1842, NA, 20, NA, NA
Jacob G. Frick, 1825, NA, 1902, NA, 14, NA, NA
Jacob H. Horwitz, 1892, NA, 1992, NA, 10, NA, NA
Jacob Holm, 1770, Denmark, 1845, NA, 22, NA, NA
Jacob Koogle, 1841, NA, 1915, NA, 14, NA, NA
Jacob Pieter Den Hartog, 1901, NA, 1989, NA, 4, NA, NA
Jacob Trautman, 1840, Germany, 1898, NA, 14, NA, NA
Jacob Volz, 1889, NA, 1965, NA, 14, NA, NA
Jacob van Helsdingen, 1907, NA, 1942, NA, 22, NA, NA
Jacqueline Nearne, 1916, NA, 1982, NA, 27, NA, NA
Jacques-Antoine de Chambarlhac de Laubespin, 1754, France, 1826, NA, 3, NA, NA
Jacques-Noël Sané, 1740, NA, 1831, NA, 2, NA, NA
Jacques-Pierre-Louis Puthod, 1769, France, 1837, NA, 2, NA, NA
Jacques Beaulieu, 1932, NA, 2014, NA, 2, NA, NA
Jacques Bernard d'Anselme, 1740, NA, 1814, NA, 2, NA, NA
Jacques Bouchard, 1930, NA, 2006, NA, 2, NA, NA
Jacques Chouinard, 1922, Canada, 2008, NA, 2, NA, NA
Jacques Desjardin, 1759, NA, 1807, NA, 16, NA, NA
Jacques E. Brandenberger, 1872, Switzerland, 1954, NA, 21, NA, NA
Jacques Ehrlich, 1893, NA, 1953, NA, 3, NA, NA
Jacques Friedel, 1921, NA, 2014, NA, 8, NA, NA
