Occupation,Lifespans
Huguenot,"[79, 74, 74]"
Church of the Brethren,"[86, 68]"
Association of Vineyard Churches,[63]
Lapsed Catholic,"[91, 63]"
Seventh Day Baptists,"[76, 59]"
Old South Church,[88]
Reformation in Switzerland,[46]
Roman Catholic Diocese of Saskatoon,[57]
Syriac Catholic Church,[74]
Ruthenian Catholic Church,[80]
Freemasonry,"[72, 72, 74]"
Evangelical and Reformed Church,[76]
Independent Baptist,"[75, 69, 88]"
History of the Jews in Germany,[79]
Thelema,[38]
Syriac Orthodox Church,[70]
Greek Orthodox Church of Antioch,"[62, 93]"
Chishti Order,"[73, 78, 79, 116, 0]"
Transcendentalism,[82]
Christian and Missionary Alliance,"[72, 93]"
Anglicism,[76]
Presbyterian Church of Australia,"[65, 96]"
Uniting Church in Australia,"[65, 70, 86]"
Charismatic Movement,[54]
Barelvi,[90]
United Submitters International,[55]
Arianism,"[67, 61]"
Iyengar,[57]
Gedimu,[65]
Manichaeism,[58]
Elcesaites,[58]
Church of the United Brethren in Christ,[73]
Cult of the Supreme Being,[36]
Sephardic law and customs,[53]
Ethiopian Orthodox Tewahedo Church,"[79, 75, 33, 36]"
Roman Catholicism in North America,[63]
Sant Mat,[63]
Modern Paganism,[66]
Church of All Worlds,[66]
Sephardi Jews,"[73, 71]"
Jews in Turkey,[78]
Plymouth Brethren,"[87, 75]"
Free Protestant Episcopal Church,[70]
Heathenry (new religious movement),[69]
Restoration Movement,[86]
Brahmo Dharma,[88]
Church of Nigeria,[92]
Orthodox Church in America,[88]
Daheshism,[75]
United Church of Christ,"[78, 60]"
Free Methodist Church,"[44, 65]"
Transhumanism,[71]
Brahmo,[70]
Hinduism in Sri Lanka,"[81, 87]"
Arminianism,[66]
Shakers,[48]
Saint Thomas Christians,[91]
American Unitarian Association,"[96, 40]"
Polish Catholic Church,[44]
Southern Methodist University,[68]
Christian fundamentalism,[62]
Radical Pietism,[56]
Roman Catholicism in Austria,[74]
Nonconformist,"[61, 55]"
Wesleyan Methodist Church (Great Britain),"[78, 70, 52]"
Pillar of Fire International,[84]
Santería,[67]
Palestinian Christians,[84]
Estonian Evangelical Lutheran Church,[37]
Oriental Orthodoxy,[77]
Isma'ilism,[37]
Secularism,[66]
Islam in the Philippines,[74]
Roman Catholicism in France,[54]
Modern Orthodox Judaism,"[75, 103]"
Eritrean Orthodox Tewahedo Church,[80]
Schwarzenau Brethren,[51]
Catholic Church in the United States,[70]
Ecclesiastical separatism,[76]
Methodist Church of Canada,[61]
Nontrinitarianism,"[63, 37]"
William Luther Pierce,[69]
Glasite,[76]
Neology,[70]
Baptists in the United States,[81]
John Wheelwright,[81]
Protestantism in Indonesia,[63]
Dreamtime,[29]
London Missionary Society,[77]
Kebatinan,[81]
Deacon,[81]
New Thought,[88]
Yihewani,[75]
Jogye Order,"[78, 66]"
Christian socialism,[58]
Evangelical Free Church of America,[70]
Religious humanism,[77]
Evangelical Lutheran Church in the Kingdom of the Netherlands,[95]
Germans,[73]
Hawaiian religion,[26]
Mission Covenant Church of Sweden,[77]
Centers for Spiritual Living,[82]
Christianity in West Bengal,"[46, 46]"
Chogye,[72]
Evangelic,[60]
Church of Greece,"[64, 57]"
Southern Methodist Church,[92]
Dissenter,[74]
Native Americans in the United States,[40]
Church of God (Cleveland Tennessee),[86]
Wolverhampton,[33]
Malankara Jacobite Syrian Christian Church,"[61, 66]"
Roman Catholicism in Singapore,[83]
New Confucianism,[69]
Māori religion,[66]
Religion in Indonesia,[64]
Church in Wales,[75]
Vaishnavism,[1]
Shaktism,[1]
Para Brahman,[1]
Satya Mahima Dharma,[45]
Unitarian church,[70]
Rastafari,[36]
Reconstructionist Judaism,[59]
Bábism,[31]
Latter Day Saint movement,[69]
Reformed Episcopal Church,[54]
Congregational Union of Australia,[73]
Scottish Episcopal Church,[84]
Assumptionists,[85]
Reformed Congregations,[66]
Old Side–New Side Controversy,[61]
United Baptist,[74]
German Catholics,[63]
Dawoodi Bohra,[65]
Bulgarian Greek Catholic Church,[31]
Liberal religion,[66]
Positive Christianity,[56]
Maratha,[68]
I AM Activity,[61]
Copts,[92]
Eastern Catholic Churches,[48]
Christian Reconstructionism,[71]
Ukrainian Greek Catholic Church,[77]
Quakers in North America,[70]
History of Christianity in Ukraine,[89]
Macedonian Orthodox Church – Ohrid Archbishopric,[81]
Church of Divine Science,[84]
Meher Baba,[77]
Materialism,[88]
History of the Jews in Bessarabia,[31]
Church of God (Anderson Indiana),[88]
